Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17722-42664,SG,Aaron,,Harrison,1.820000076,5,3500,TOR@CHA,CHA,TOR,,
17722-23757,PG,Brian,,Roberts,2.745454615,11,3500,TOR@CHA,CHA,TOR,,
17722-42202,PF,Christian,,Wood,2.400000095,1,3500,TOR@CHA,CHA,TOR,,
17722-20806,SF,Treveon,,Graham,3.00769219,13,3500,TOR@CHA,CHA,TOR,,
17722-9605,PG,Ramon,,Sessions,12.56666638,42,3500,TOR@CHA,CHA,TOR,,
17722-14528,SF,Jimmy,,Butler,42.25609756,41,9800,CHI@ATL,CHI,ATL,,
17722-9585,SG,Dwyane,,Wade,31.32631643,38,6900,CHI@ATL,CHI,ATL,,
17722-16201,PG,Michael,,Carter-Williams,18.00625038,16,4700,CHI@ATL,CHI,ATL,,
17722-9873,C,Robin,,Lopez,21.62325553,43,4500,CHI@ATL,CHI,ATL,,
17722-14522,PF,Nikola,,Mirotic,19.39999967,37,4100,CHI@ATL,CHI,ATL,,
17722-9455,PG,Rajon,,Rondo,24.8852934,34,4000,CHI@ATL,CHI,ATL,,
17722-18256,SF,Doug,,McDermott,16.24666646,30,4000,CHI@ATL,CHI,ATL,,
17722-15996,PG,Jerian,,Grant,10.31212084,33,3700,CHI@ATL,CHI,ATL,,
17722-19456,PG,Isaiah,,Canaan,9.957142421,28,3500,CHI@ATL,CHI,ATL,,
17722-42156,PF,Bobby,,Portis,8.851724559,29,3500,CHI@ATL,CHI,ATL,,
17722-70832,SF,Paul,,Zipser,4.030769348,13,3500,CHI@ATL,CHI,ATL,,
17722-23248,SG,R.J.,,Hunter,0.400000016,3,3500,CHI@ATL,CHI,ATL,,
17722-24546,SG,Denzel,,Valentine,6.176923312,26,3500,CHI@ATL,CHI,ATL,,
17722-63478,C,Cristiano,,Felicio,11.86857125,35,3500,CHI@ATL,CHI,ATL,,
17722-15946,SF,Harrison,,Barnes,30.10714286,42,6100,UTA@DAL,DAL,UTA,,
17722-9722,PG,Deron,,Williams,26.17647059,34,5900,UTA@DAL,DAL,UTA,,
