"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17699-15669","PF","Meyers","","Leonard","10.849999678762336","38","3600","POR@CHA","POR","CHA","","","",""
"17699-16293","SG","Norman","","Powell","10.35675708667652","37","3600","TOR@PHI","TOR","PHI","","","",""
"17699-9731","C","Kosta","","Koufos","15.072500610351563","40","3500","IND@SAC","SAC","IND","","","",""
"17699-58378","C","Jakob","","Poeltl","6.818181818181818","22","3500","TOR@PHI","TOR","PHI","","","",""
"17699-9739","C","JaVale","","McGee","9.62702735694679","37","3500","OKC@GS","GS","OKC","","","",""
"17699-23572","SF","Taurean","","Prince","7.349999745686849","24","3500","ATL@DET","ATL","DET","","","",""
"17699-16411","SG","C.J.","","Wilcox","2.393749952316284","16","3500","ORL@NO","ORL","NO","","","",""
"17699-37931","C","Aron","","Baynes","9.785366151391006","41","3500","ATL@DET","DET","ATL","GTD","Knee","",""
"17699-12335","PF","Kevin","","Seraphin","10.191304082455842","23","3500","IND@SAC","IND","SAC","","","",""
"17699-66109","PF","Skal","","Labissiere","4.300000190734863","4","3500","IND@SAC","SAC","IND","","","",""
"17699-15947","SG","Reggie","","Bullock","8.84999974568685","6","3500","ATL@DET","DET","ATL","","","",""
"17699-9804","C","Alexis","","Ajinca","11.366666521344866","21","3500","ORL@NO","NO","ORL","","","",""
"17699-12365","PF","Ed","","Davis","12.02249984741211","40","3500","POR@CHA","POR","CHA","O","Ankle","",""
"17699-55376","SF","Damjan","","Rudez","3.4833332697550454","24","3500","ORL@NO","ORL","NO","","","",""
"17699-66129","PF","Deyonta","","Davis","5.590476263137091","21","3500","MEM@WAS","MEM","WAS","","","",""
"17699-15955","PF","James Michael","","McAdoo","2.5062499046325684","16","3500","OKC@GS","GS","OKC","","","",""
"17699-17491","SF","James","","Ennis III","16.07586248989763","29","3500","MEM@WAS","MEM","WAS","","","",""
"17699-15961","C","Tyler","","Zeller","10.066666214554399","27","3500","NY@BOS","BOS","NY","O","Illness","",""
"17699-41063","PF","Jordan","","Mickey","5.279999923706055","10","3500","NY@BOS","BOS","NY","","","",""
"17699-41065","PG","Tim","","Quarterman","2.9750000635782876","12","3500","POR@CHA","POR","CHA","","","",""
"17699-23148","PG","Semaj","","Christon","8.805555555555555","36","3500","OKC@GS","OKC","GS","","","",""
"17699-17517","SF","Tony","","Snell","15.08718011318109","39","3500","MIL@HOU","MIL","HOU","","","",""
"17699-23156","SF","Georges","","Niang","2.017647013944738","17","3500","IND@SAC","IND","SAC","","","",""
"17699-60021","PF","Pascal","","Siakam","11.631578947368421","38","3500","TOR@PHI","TOR","PHI","","","",""
"17699-9849","SG","Gerald","","Green","9.595652041227922","23","3500","NY@BOS","BOS","NY","","","",""
"17699-15993","SG","Pat","","Connaughton","3.3157894736842106","19","3500","POR@CHA","POR","CHA","","","",""
"17699-41082","C","Damian","","Jones","-2","1","3500","OKC@GS","GS","OKC","","","",""
"17699-58490","PG","Wade","","Baldwin IV","8.634782874065897","23","3500","MEM@WAS","MEM","WAS","","","",""
"17699-12421","C","Tiago","","Splitter","11.977778116861979","36","3500","ATL@DET","ATL","DET","O","Hamstring","",""
"17699-12423","C","Omer","","Asik","11.031034272292565","29","3500","ORL@NO","NO","ORL","","","",""
"17699-58505","C","Chinanu","","Onuaku","6.550000190734863","2","3500","MIL@HOU","HOU","MIL","","","",""
"17699-23178","SF","Mirza","","Teletovic","11.903029933120266","33","3500","MIL@HOU","MIL","HOU","","","",""
"17699-63123","SG","Mario","","Hezonja","5.1299997965494795","30","3500","ORL@NO","ORL","NO","","","",""
"17699-66203","SG","Malachi","","Richardson","4.466666539510091","6","3500","IND@SAC","SAC","IND","","","",""
"17699-48799","PF","Maurice","","Ndour","4.95882370892693","17","3500","NY@BOS","NY","BOS","","","",""
"17699-70821","C","Georgios","","Papagiannis","1.100000023841858","2","3500","IND@SAC","SAC","IND","","","",""
"17699-70820","PF","Thon","","Maker","3.9588237089269303","17","3500","MIL@HOU","MIL","HOU","","","",""
"17699-42662","SF","Troy","","Williams","10.304166793823242","24","3500","MEM@WAS","MEM","WAS","","","",""
"17699-9895","SF","Steve","","Novak","1.0750000476837158","8","3500","MIL@HOU","MIL","HOU","","","",""
"17699-42664","SG","Aaron","","Harrison","1.8200000762939452","5","3500","POR@CHA","CHA","POR","","","",""
"17699-70825","SG","Timothe","","Luwawu-Cabarrot","5.43076911339393","26","3500","TOR@PHI","PHI","TOR","","","",""
"17699-42665","PG","Andrew","","Harrison","16.32250061035156","40","3500","MEM@WAS","MEM","WAS","","","",""
"17699-15532","SG","K.J.","","McDaniels","5.577272588556463","22","3500","MIL@HOU","HOU","MIL","","","",""
"17699-42671","SF","James","","Young","3.3363637057217685","11","3500","NY@BOS","BOS","NY","GTD","Ankle","",""
"17699-42677","PG","Terry","","Rozier","13.019444783528646","36","3500","NY@BOS","BOS","NY","","","",""
"17699-14519","PF","Donatas","","Motiejunas","12.54000015258789","5","3500","ORL@NO","NO","ORL","","","",""
"17699-24247","PG","Fred","","VanVleet","5.408333460489909","12","3500","TOR@PHI","TOR","PHI","","","",""
"17699-49336","SF","DeAndre'","","Bembry","3.8933334350585938","15","3500","ATL@DET","ATL","DET","GTD","Personal","",""
"17699-23743","PF","Daniel","","Ochefu","2.8100000381469727","10","3500","MEM@WAS","WAS","MEM","","","",""
"17699-42689","PG","Tyler","","Ennis","4.195833206176758","24","3500","MIL@HOU","HOU","MIL","","","",""
"17699-14532","SF","Kyle","","Singler","3.7181819568980825","22","3500","OKC@GS","OKC","GS","","","",""
"17699-16071","PG","Tim","","Frazier","23.69705918255974","34","3500","ORL@NO","NO","ORL","","","",""
"17699-15560","PG","Shabazz","","Napier","6.7666665536386","27","3500","POR@CHA","POR","CHA","","","",""
"17699-14537","SF","Chandler","","Parsons","11.347058464499082","17","3500","MEM@WAS","MEM","WAS","","","",""
"17699-23757","PG","Brian","","Roberts","2.8200000762939452","10","3500","POR@CHA","CHA","POR","","","",""
"17699-9935","C","Brandan","","Wright","14.466667175292969","12","3500","MEM@WAS","MEM","WAS","O","Ankle","",""
"17699-58576","PF","Kevon","","Looney","7.758064516129032","31","3500","OKC@GS","GS","OKC","","","",""
"17699-9940","SF","Dante","","Cunningham","13.189655172413794","29","3500","ORL@NO","NO","ORL","","","",""
"17699-14549","PF","Lavoy","","Allen","6.45","30","3500","IND@SAC","IND","SAC","","","",""
"17699-42202","PF","Christian","","Wood","2.4000000953674316","1","3500","POR@CHA","CHA","POR","","","",""
"17699-15585","SG","Michael","","Gbinije","1.3250000476837158","8","3500","ATL@DET","DET","ATL","O","Forearm","",""
"17699-9955","SG","Marcus","","Thornton","11.793939763849432","33","3500","MEM@WAS","WAS","MEM","","","",""
"17699-15587","SF","Ryan","","Kelly","4.388888888888889","9","3500","ATL@DET","ATL","DET","","","",""
"17699-23780","PF","Jake","","Layman","4.0363637750799","22","3500","POR@CHA","POR","CHA","","","",""
"17699-15589","C","Marshall","","Plumlee","4.899999936421712","3","3500","NY@BOS","NY","BOS","","","",""
"17699-15591","C","Miles","","Plumlee","5.277777777777778","27","3500","MIL@HOU","MIL","HOU","","","",""
"17699-9962","PF","Jonas","","Jerebko","10.421950921779725","41","3500","NY@BOS","BOS","NY","","","",""
"17699-23282","SF","Sam","","Dekker","14.388635808771307","44","3500","MIL@HOU","HOU","MIL","","","",""
"17699-23801","SG","Nik","","Stauskas","15.186487146326014","37","3500","TOR@PHI","PHI","TOR","","","",""
"17699-23294","SF","Danuel","","House","1.2000000476837158","1","3500","MEM@WAS","WAS","MEM","O","Wrist","",""
"17699-40206","SG","Alex","","Abrines","8.350000169542101","36","3500","OKC@GS","OKC","GS","","","",""
"17699-23823","PF","Willie","","Cauley-Stein","8.169697154651988","33","3500","IND@SAC","SAC","IND","","","",""
"17699-23824","PG","Archie","","Goodwin","6.166666666666667","3","3500","ORL@NO","NO","ORL","","","",""
"17699-9490","C","Anderson","","Varejao","5.3599998474121096","10","3500","OKC@GS","GS","OKC","","","",""
"17699-55058","SF","Bruno","","Caboclo","2.0875000953674316","8","3500","TOR@PHI","TOR","PHI","","","",""
"17699-55063","C","Edy","","Tavares","3.200000047683716","1","3500","ATL@DET","ATL","DET","","","",""
"17699-9496","PG","Jason","","Terry","8.008571079799108","35","3500","MIL@HOU","MIL","HOU","","","",""
"17699-58658","SG","Patrick","","McCaw","5.561290125693044","31","3500","OKC@GS","GS","OKC","","","",""
"17699-9507","SG","Arron","","Afflalo","11.400000369910037","33","3500","IND@SAC","SAC","IND","","","",""
"17699-58661","SG","Rashad","","Vaughn","6.731249809265137","16","3500","MIL@HOU","MIL","HOU","","","",""
"17699-9525","PG","C.J.","","Watson","6.435483870967742","31","3500","ORL@NO","ORL","NO","","","",""
"17699-41269","PG","Demetrius","","Jackson","4.824999809265137","4","3500","NY@BOS","BOS","NY","","","",""
"17699-9526","SG","Monta","","Ellis","18.231250762939453","32","3500","IND@SAC","IND","SAC","","","",""
"17699-9529","SG","Anthony","","Morrow","8.116666666666667","30","3500","OKC@GS","OKC","GS","","","",""
"17699-16188","SF","Anthony","","Brown","9.022221883138021","9","3500","ORL@NO","NO","ORL","","","",""
"17699-9534","PG","Aaron","","Brooks","11.227026862067145","37","3500","IND@SAC","IND","SAC","","","",""
"17699-16191","SF","Josh","","Huestis","5.8","5","3500","OKC@GS","OKC","GS","","","",""
"17699-17218","PF","Andrew","","Nicholson","5.515999755859375","25","3500","MEM@WAS","WAS","MEM","","","",""
"17699-16197","PG","Chasson","","Randle","10.449999809265137","2","3500","TOR@PHI","PHI","TOR","","","",""
