gid,name,espn_id,espn_name,team,gp,gs,min,fg,fga,3p,3pa,ft,fta,orb,drb,rb,ast,stl,blk,to,pf,dq,+/-,dd,td,fanduel pts,draftkings pts,draftday pts,yahoo pts,fanduel position,fanduel salary,draftkings position,draftkings salary,draftday position,draftday salary,yahoo position,yahoo salary,team pts,oppt pts,total pts
3311,"Jefferson, Richard",1006,"Jefferson, Richard",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,34,3000,23,5000,3,10,0,0,0
4182,"Jennings, Brandon",3997,"Jennings, Brandon",nyk,1,0,24.3,4,6,1,1,0,0,0,3,3,2,0,0,3,0,0,5,0,0,12.6,14.75,14.75,13.1,1,4900,12,4900,1,9850,1,11,97,98,195
4187,"Jerebko, Jonas",3998,"Jerebko, Jonas",bos,1,0,22.46666667,3,5,1,3,1,2,2,4,6,1,0,1,2,1,0,16,0,0,16.7,18.5,18.25,17.2,4,3500,4,3000,34,5000,4,10,98,91,189
3768,"Johnson, Amir",2769,"Johnson, Amir",bos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4100,45,4100,45,7050,4,11,98,91,189
4914,"Johnson, Brice",0,"Johnson, Brice",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,4,3000,4,5000,4,10,0,0,0
4292,"Johnson, Wesley",4247,"Johnson, Wesley",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,3,3000,23,5000,3,10,0,0,0
3544,"Jones, James",2009,"Jones, James",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3500,2,3000,23,5000,2,10,0,0,0
4876,"Jones, Tyus",0,"Jones, Tyus",min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,1,5000,1,10,95,77,172
4107,"Jordan, DeAndre",3442,"Jordan, DeAndre",lac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7500,5,7000,5,15250,5,25,0,0,0
4442,"Kanter, Enes",6447,"Kanter, Enes",okc,1,0,25.33333333,6,16,0,2,2,2,3,8,11,3,2,0,3,2,0,4,1,0,32.7,36.25,34.25,32.7,4,5700,45,5100,5,10150,5,17,75,71,146
