RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
277,"Josh Richardson, MIA",28,31.3,.483,17.3,9.5,18.2,1.7,10.0,5.8,9.78,-9.4,-0.3
278,"Aron Baynes, DET",40,15.0,.541,6.3,15.7,12.5,7.3,21.4,14.1,9.77,-7.5,-0.2
279,"Nik Stauskas, PHI",35,26.4,.578,17.0,13.8,15.2,1.1,9.9,5.5,9.70,-11.0,-0.4
280,"Dion Waiters, MIA",21,29.7,.435,18.6,9.5,24.6,1.2,10.1,5.6,9.62,-8.2,-0.3
,"P.J. Tucker, PHX",39,27.3,.500,13.1,11.2,10.6,6.2,16.5,11.2,9.62,-14.0,-0.5
282,"Matt Barnes, SAC",36,25.0,.491,23.3,13.3,16.1,4.1,17.9,10.9,9.56,-12.6,-0.4
,"Kent Bazemore, ATL",37,27.1,.451,17.2,10.4,19.5,2.3,10.2,6.3,9.56,-14.1,-0.5
284,"Jaylen Brown, BOS",39,12.9,.497,10.0,10.4,17.1,4.8,11.5,8.2,9.51,-7.5,-0.2
285,"Andrew Bogut, DAL",22,23.5,.442,28.3,23.9,10.5,10.6,36.8,22.7,9.50,-8.5,-0.3
286,"Alex Abrines, OKC",34,14.1,.545,7.8,9.2,16.1,2.4,7.0,4.8,9.45,-7.5,-0.3
287,"Joe Harris, BKN",37,23.0,.561,11.3,11.3,15.2,1.5,12.7,7.1,9.44,-13.5,-0.4
288,"Al-Farouq Aminu, POR",24,28.0,.427,19.3,11.6,14.6,4.6,23.7,14.1,9.43,-10.8,-0.4
289,"Glenn Robinson III, IND",37,22.8,.508,10.1,8.7,12.1,4.5,14.0,9.3,9.41,-13.7,-0.5
290,"Hollis Thompson, PHI",31,18.1,.510,12.8,4.4,13.1,3.0,13.5,8.3,9.33,0.0,0.0
291,"Jeff Green, ORL",40,23.8,.498,11.0,10.4,18.2,2.2,11.3,6.7,9.31,-16.9,-0.6
292,"Anthony Morrow, OKC",29,16.0,.500,8.1,2.7,14.9,1.7,3.1,2.4,9.25,-8.7,-0.3
293,"Kelly Oubre Jr., WSH",36,18.8,.510,9.1,9.9,13.9,4.4,17.5,10.9,9.10,-14.1,-0.5
,"Tony Snell, MIL",37,29.4,.565,13.5,6.9,11.8,1.5,12.0,6.9,9.10,-22.7,-0.8
295,"Andre Roberson, OKC",41,31.1,.503,12.1,8.2,10.1,3.4,12.8,8.2,8.98,-29.0,-1.0
296,"Wesley Johnson, LAC",35,13.5,.443,11.9,8.1,12.4,4.6,21.7,13.4,8.93,-11.1,-0.4
297,"Chandler Parsons, MEM",16,17.8,.451,12.3,6.5,18.4,0.8,12.0,6.2,8.92,-6.7,-0.2
298,"Arron Afflalo, SAC",32,23.3,.542,12.0,6.0,13.5,1.1,8.8,4.9,8.83,-18.6,-0.6
299,"Kris Dunn, MIN",40,16.7,.446,29.0,15.7,16.0,2.4,13.0,7.6,8.75,-22.5,-0.7
300,"Andrew Harrison, MEM",40,25.0,.455,27.6,11.5,17.0,1.9,8.8,5.2,8.61,-35.8,-1.2
301,"Stanley Johnson, DET",38,15.8,.461,19.4,10.4,13.1,2.7,12.4,7.4,8.58,-17.2,-0.6
302,"Malcolm Delaney, ATL",39,17.1,.482,27.0,15.1,20.0,0.8,10.8,5.9,8.55,-24.4,-0.8
303,"Isaiah Canaan, CHI",28,18.5,.488,14.1,8.9,15.1,1.2,7.9,4.5,8.34,-20.6,-0.7
304,"Mike Dunleavy, ATL/CLE",24,15.9,.552,15.4,10.3,8.8,1.5,13.3,7.5,8.28,-12.6,-0.4
305,"Justise Winslow, MIA",18,34.7,.397,19.1,9.5,19.6,3.9,12.6,8.1,8.26,-20.9,-0.7
306,"Jarell Martin, MEM",38,14.0,.478,3.1,13.8,14.9,7.7,25.8,16.5,8.22,-26.1,-0.9
307,"Miles Plumlee, MIL",25,9.3,.522,18.2,21.4,14.3,9.0,9.4,9.2,8.19,-8.4,-0.3
308,"Dante Exum, UTAH",30,20.4,.505,19.7,11.9,16.2,3.0,8.3,5.8,8.16,-25.9,-0.9
309,"Rodney McGruder, MIA",37,26.1,.478,18.1,8.4,11.0,5.8,8.9,7.3,8.12,-34.2,-1.1
310,"Corey Brewer, HOU",42,15.2,.493,17.3,10.5,13.5,2.8,11.7,7.3,8.05,-23.4,-0.8
311,"Noah Vonleh, POR",34,11.2,.466,6.0,18.7,13.4,9.1,23.9,16.5,8.01,-19.8,-0.7
312,"Domantas Sabonis, OKC",41,20.9,.498,14.3,12.2,14.0,2.8,16.0,9.6,8.00,-44.9,-1.5
313,"J.R. Smith, CLE",21,28.9,.481,11.4,6.6,13.9,1.5,6.5,4.1,7.93,-23.3,-0.8
314,"Dorian Finney-Smith, DAL",38,21.9,.523,15.1,10.9,10.9,3.3,11.8,7.2,7.87,-32.6,-1.1
,"Troy Williams, MEM",24,17.4,.477,10.6,15.1,16.5,1.6,10.7,6.0,7.87,-16.4,-0.5
316,"Meyers Leonard, POR",37,15.6,.483,11.1,7.5,16.1,2.3,20.0,11.1,7.85,-31.4,-1.0
317,"Solomon Hill, NO",38,27.2,.517,20.7,10.8,10.3,1.7,12.4,7.0,7.76,-42.3,-1.4
